,game_id,team,week,total_yards,total_tds,passing_tds,rushing_tds,num_plays,avg_epa,success_rate,total_rush_yards,rush_attempts,longest_rush,rushes_for_loss,total_pass_yards,pass_attempts,complete_passes,incomplete_passes,sacks,longest_pass,total_penalty_yards,fumbles_lost,interceptions,third_down_converted,fourth_down_converted,wp,home_wp,away_wp
200,2024_07_LV_LA,LA,7,261.0,2.0,0.0,2.0,50,-0.2877217,0.42,117.0,26.0,24.0,1,154.0,24.0,14.0,8.0,1.0,37.0,0.0,0.0,1.0,2.0,0.0,0.7393972,0.7393972,0.26060277
201,2024_07_LV_LA,LV,7,317.0,1.0,0.0,0.0,75,-0.3405067,0.3333333333333333,122.0,29.0,13.0,2,206.0,46.0,21.0,20.0,2.0,25.0,11.0,1.0,3.0,3.0,1.0,0.28596678,0.71403325,0.28596678
202,2024_07_MIA_IND,IND,7,285.0,1.0,0.0,1.0,60,-0.19459946,0.35,156.0,36.0,22.0,5,129.0,24.0,10.0,14.0,0.0,33.0,0.0,1.0,0.0,4.0,0.0,0.5034881,0.5034881,0.4965119
203,2024_07_MIA_IND,MIA,7,337.0,1.0,1.0,0.0,67,-0.25723282,0.43283582089552236,188.0,40.0,19.0,3,161.0,27.0,15.0,10.0,2.0,25.0,35.0,2.0,0.0,6.0,0.0,0.57018197,0.42981806,0.57018197
204,2024_07_NE_JAX,JAX,7,366.0,3.0,1.0,2.0,60,0.2409406,0.5333333333333333,171.0,39.0,13.0,2,193.0,21.0,15.0,5.0,0.0,58.0,0.0,0.0,0.0,6.0,0.0,0.78513515,0.78513515,0.21486484
205,2024_07_NE_JAX,NE,7,295.0,2.0,2.0,0.0,55,0.07388121,0.32727272727272727,38.0,15.0,15.0,2,276.0,40.0,26.0,11.0,2.0,33.0,0.0,0.0,0.0,6.0,0.0,0.30902982,0.6909702,0.30902982
206,2024_07_NYJ_PIT,NYJ,7,325.0,2.0,1.0,1.0,56,-0.023287788,0.44642857142857145,54.0,15.0,13.0,4,276.0,41.0,24.0,13.0,1.0,57.0,15.0,0.0,2.0,3.0,1.0,0.4185991,0.58140093,0.4185991
207,2024_07_NYJ_PIT,PIT,7,409.0,4.0,2.0,2.0,66,0.15664223,0.3787878787878788,149.0,36.0,34.0,3,264.0,30.0,16.0,13.0,1.0,44.0,10.0,0.0,0.0,5.0,2.0,0.65174013,0.65174013,0.34825984
208,2024_07_PHI_NYG,NYG,7,119.0,0.0,0.0,0.0,54,-0.42661414,0.2962962962962963,76.0,18.0,13.0,1,105.0,36.0,17.0,11.0,8.0,14.0,0.0,0.0,0.0,3.0,0.0,0.23992862,0.23992862,0.76007134
209,2024_07_PHI_NYG,PHI,7,340.0,4.0,1.0,3.0,64,0.14653978,0.40625,270.0,44.0,55.0,2,114.0,20.0,10.0,5.0,5.0,41.0,0.0,0.0,0.0,1.0,3.0,0.7970721,0.20292786,0.7970721
210,2024_07_SEA_ATL,ATL,7,370.0,3.0,1.0,1.0,70,-0.09877075,0.5285714285714286,156.0,31.0,26.0,3,246.0,39.0,25.0,9.0,3.0,26.0,0.0,1.0,2.0,8.0,2.0,0.26902804,0.26902804,0.730972
211,2024_07_SEA_ATL,SEA,7,339.0,3.0,2.0,1.0,56,0.11313181,0.39285714285714285,103.0,26.0,20.0,1,242.0,30.0,19.0,10.0,1.0,35.0,10.0,0.0,0.0,4.0,1.0,0.68016297,0.31983703,0.68016297
212,2024_07_TEN_BUF,BUF,7,389.0,4.0,2.0,2.0,54,0.21962814,0.4444444444444444,74.0,20.0,22.0,5,323.0,34.0,21.0,12.0,1.0,57.0,0.0,0.0,0.0,3.0,0.0,0.6963969,0.6963969,0.30360314
213,2024_07_TEN_BUF,TEN,7,289.0,1.0,1.0,0.0,66,-0.22372471,0.36363636363636365,89.0,24.0,14.0,4,215.0,42.0,25.0,13.0,3.0,26.0,0.0,1.0,1.0,6.0,1.0,0.4075442,0.59245586,0.4075442
