player_id,player_name,player_abbr,game_id,week,recent_team,opponent_team,season,season_type,position,headshot_url,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr,special_teams_tds,fantasy_points,fantasy_points_ppr,receiving_broken_tackles,receiving_drop,receiving_drop_pct,receiving_int,receiving_rat,avg_cushion,avg_separation,avg_intended_air_yards,percent_share_of_intended_air_yards,avg_yac,avg_expected_yac,avg_yac_above_expectation
00-0034348,Courtland Sutton,C.Sutton,2024_15_IND_DEN,15,DEN,IND,2024,REG,WR,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/qts95gbd6hv65s9eiseq",3,9,32.0,1,0.0,0.0,133.0,0.0,2.0,-5.5369496,0,0.24060151,0.28125,0.76878613,0.9600253,0.0,9.2,12.2,0.0,3.0,0.333,2.0,42.1,5.453333333333333,1.7837647797046816,14.604444444444445,73.57402742793172,0.38333333333333286,1.0316630143330865,-0.6483296809997536
00-0034348,Courtland Sutton,C.Sutton,2024_16_DEN_LAC,16,DEN,LAC,2024,REG,WR,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/qts95gbd6hv65s9eiseq",5,6,50.0,0,0.0,0.0,45.0,12.0,3.0,3.9808888,0,1.1111112,0.15384616,0.35714287,0.48076922,0.0,5.0,10.0,0.0,0.0,0.0,0.0,101.4,8.415000000000001,3.2807906898370796,7.73,35.671435163820966,2.5140000000000002,2.647533196840095,-0.1335331968400948
00-0034348,Courtland Sutton,C.Sutton,2024_17_DEN_CIN,17,DEN,CIN,2024,REG,WR,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/qts95gbd6hv65s9eiseq",5,9,55.0,1,0.0,0.0,110.0,9.0,4.0,0.22151433,0,0.5,0.29032257,0.49107143,0.7792339,0.0,11.5,16.5,0.0,0.0,0.0,1.0,71.3,2.902222222222222,2.121502515250558,13.336666666666666,51.02014792144861,2.052000000000001,1.785603788884663,0.26639621111533796
00-0034348,Courtland Sutton,C.Sutton,2024_18_KC_DEN,18,DEN,KC,2024,REG,WR,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/qts95gbd6hv65s9eiseq",5,7,98.0,1,0.0,0.0,116.0,8.0,4.0,5.579514,0,0.8448276,0.2413793,0.70731705,0.8571909,0.0,15.8,20.8,0.0,0.0,0.0,0.0,153.3,3.32,1.4413330620536446,17.015714285714285,78.27944269190326,2.9860000000000007,1.8231908534060495,1.1628091465939512
00-0034348,Courtland Sutton,C.Sutton,2024_19_DEN_BUF,19,DEN,BUF,2024,POST,WR,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/qts95gbd6hv65s9eiseq",5,9,75.0,0,0.0,0.0,157.0,12.0,4.0,-0.8201243,0,0.477707,0.39130434,0.5709091,0.9865929,0.0,7.5,12.5,0.0,1.0,0.111,0.0,83.1,6.528888888888888,2.923742178632469,16.68888888888889,59.97923488539254,2.3719999999999986,2.477690286988623,-0.10569028698862448
00-0033282,Curtis Samuel,C.Samuel,2024_10_BUF_IND,10,BUF,IND,2024,REG,WR,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/mq62ulflifrpjrcyknbj",4,8,35.0,0,0.0,0.0,59.0,10.0,2.0,-9.360662,0,0.59322035,0.22857143,0.24481328,0.51422644,0.0,3.5,7.5,0.0,0.0,0.0,1.0,22.4,7.75,1.9206369545915707,7.631250000000001,24.468937875751497,2.447499999999998,2.7695499154506393,-0.3220499154506413
00-0033282,Curtis Samuel,C.Samuel,2024_11_KC_BUF,11,BUF,KC,2024,REG,WR,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/mq62ulflifrpjrcyknbj",5,6,58.0,1,0.0,0.0,28.0,30.0,3.0,5.2758965,0,2.0714285,0.15789473,0.10486891,0.31025034,0.0,11.8,16.8,0.0,0.0,0.0,0.0,146.5,4.4159999999999995,5.291675579563745,4.664999999999998,11.429621462697533,5.990000000000001,4.975436246527241,1.0145637534727605
00-0033282,Curtis Samuel,C.Samuel,2024_18_BUF_NE,18,BUF,NE,2024,REG,WR,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/mq62ulflifrpjrcyknbj",7,8,52.0,0,0.0,0.0,2.0,60.0,1.0,-1.3458643,0,26.0,0.2580645,0.00862069,0.39313126,0.0,5.2,12.2,0.0,0.0,0.0,0.0,93.7,6.804285714285714,5.218854952212095,-0.256250000000001,-0.8780195305807811,9.147142857142857,7.494049144872926,1.6530937122699312
00-0034351,Dallas Goedert,D.Goedert,2024_01_GB_PHI,1,PHI,GB,2024,REG,TE,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/wfj54vhw1zxwwb3vdi61",4,5,31.0,0,0.0,0.0,-4.0,31.0,1.0,0.36690798,0,0.0,0.1724138,-0.018518519,0.24565773,0.0,3.1,7.1,0.0,0.0,0.0,0.0,92.5,6.625,5.420265708301519,1.0039999999999991,2.1754203501473386,7.125,7.629355691571391,-0.5043556915713907
00-0034351,Dallas Goedert,D.Goedert,2024_03_PHI_NO,3,PHI,NO,2024,REG,TE,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/wfj54vhw1zxwwb3vdi61",10,11,170.0,0,1.0,0.0,70.0,118.0,5.0,11.604897,0,2.4285715,0.30555555,0.27027026,0.6475225,0.0,17.0,27.0,1.0,0.0,0.0,0.0,118.7,5.7875,3.1904003787127078,6.340909090909091,26.101111402162935,11.883000000000001,6.415930747649691,5.46706925235031
00-0034351,Dallas Goedert,D.Goedert,2024_04_PHI_TB,4,PHI,TB,2024,REG,TE,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/wfj54vhw1zxwwb3vdi61",7,8,62.0,0,0.0,0.0,67.0,9.0,1.0,2.9194062,0,0.92537314,0.27586207,0.26482213,0.5991686,0.0,6.2,13.2,0.0,1.0,0.125,0.0,99.0,7.026666666666666,3.0852985835699283,8.06625,25.289023004271666,1.5128571428571438,1.8873897819581618,-0.374532639101018
00-0034351,Dallas Goedert,D.Goedert,2024_11_WAS_PHI,11,PHI,WAS,2024,REG,TE,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/wfj54vhw1zxwwb3vdi61",5,5,61.0,0,1.0,0.0,32.0,29.0,2.0,3.8058896,0,1.90625,0.2,0.19875777,0.43913043,0.0,6.1,11.1,0.0,0.0,0.0,0.0,117.5,4.683333333333334,5.102035947199925,5.9719999999999995,20.886961387800778,6.268000000000001,8.107924019042548,-1.839924019042547
00-0034351,Dallas Goedert,D.Goedert,2024_12_PHI_LA,12,PHI,LA,2024,REG,TE,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/wfj54vhw1zxwwb3vdi61",4,5,19.0,0,0.0,0.0,31.0,6.0,1.0,-0.7391418,0,0.61290324,0.2631579,0.28440368,0.59381944,0.0,1.9,5.9,0.0,0.0,0.0,0.0,82.5,4.318,3.7701666260038715,6.813999999999998,27.595982504454874,1.9475000000000016,1.8042850165946902,0.14321498340531136
00-0034351,Dallas Goedert,D.Goedert,2024_18_NYG_PHI,18,PHI,NYG,2024,REG,TE,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/wfj54vhw1zxwwb3vdi61",4,6,55.0,0,0.0,0.0,44.0,26.0,4.0,4.0983825,0,1.25,0.14634146,0.16296296,0.33358628,0.0,5.5,9.5,0.0,0.0,0.0,0.0,95.8,6.8066666666666675,2.6681942526628837,7.231666666666668,16.348291322858977,6.444999999999999,6.9237988906527335,-0.47879889065273407
