player_id,player_abbr,player_name,position,headshot_url,recent_team,season,week,season_type,opponent_team,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr,special_teams_tds,fantasy_points,fantasy_points_ppr
00-0030431,R.Woods,Robert Woods,WR,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ydjg5fylwkf5aaxiul6v",HOU,2024,12,REG,TEN,1,1,8.0,0,0.0,0.0,5.0,3.0,1.0,0.7783913,0,1.6,0.032258064,0.018450184,0.061302226,0.0,0.8,1.8
00-0030431,R.Woods,Robert Woods,WR,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ydjg5fylwkf5aaxiul6v",HOU,2024,13,REG,JAX,0,1,0.0,0,0.0,0.0,22.0,0.0,0.0,-0.60975003,0,0.0,0.030303031,0.07692308,0.0993007,0.0,0.0,0.0
00-0030431,R.Woods,Robert Woods,WR,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ydjg5fylwkf5aaxiul6v",HOU,2024,15,REG,MIA,2,2,12.0,0,1.0,0.0,10.0,2.0,1.0,0.19378558,0,1.2,0.08,0.05319149,0.15723404,0.0,1.2,3.2
00-0030431,R.Woods,Robert Woods,WR,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ydjg5fylwkf5aaxiul6v",HOU,2024,16,REG,KC,3,6,19.0,0,1.0,0.0,73.0,18.0,1.0,-1.5961043,0,0.26027396,0.16216215,0.20505618,0.38678256,0.0,1.9,4.9
00-0030431,R.Woods,Robert Woods,WR,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ydjg5fylwkf5aaxiul6v",HOU,2024,17,REG,BAL,2,2,21.0,0,0.0,0.0,18.0,3.0,2.0,1.94305,0,1.1666666,0.06451613,0.05882353,0.13795066,0.0,2.1,4.1
00-0030431,R.Woods,Robert Woods,WR,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ydjg5fylwkf5aaxiul6v",HOU,2024,18,REG,TEN,2,3,39.0,0,1.0,1.0,35.0,5.0,1.0,-3.2057173,0,1.1142857,0.10714286,0.19337016,0.2960734,0.0,1.9,3.9
00-0030431,R.Woods,Robert Woods,WR,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ydjg5fylwkf5aaxiul6v",HOU,2024,19,POST,LAC,2,4,22.0,0,0.0,0.0,34.0,2.0,2.0,0.0037892351,0,0.64705884,0.125,0.10967742,0.26427418,0.0,2.2,4.2
00-0030506,T.Kelce,Travis Kelce,TE,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ilk4qbxxs6mt3v9zfvtg",KC,2024,1,REG,BAL,3,4,34.0,0,0.0,0.0,27.0,10.0,2.0,3.4729156,0,1.2592592,0.14814815,0.16875,0.34034723,0.0,3.4,6.4
00-0030506,T.Kelce,Travis Kelce,TE,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ilk4qbxxs6mt3v9zfvtg",KC,2024,2,REG,CIN,1,3,5.0,0,0.0,0.0,21.0,0.0,0.0,-6.7255282,0,0.23809524,0.13043478,0.23863636,0.36269763,0.0,0.6,1.6
00-0030506,T.Kelce,Travis Kelce,TE,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ilk4qbxxs6mt3v9zfvtg",KC,2024,3,REG,ATL,4,5,30.0,0,0.0,0.0,25.0,11.0,2.0,0.36015654,0,1.2,0.1388889,0.13812155,0.30501842,0.0,3.0,7.0
