season,team,position,depth_chart_position,jersey_number,status,player_name,first_name,last_name,headshot_url,week,game_type
2024,SF,DB,CB,36.0,INA,Tre Avery,Tre,Avery,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/a7kfv7xjftqlaqghk6sg",18,REG
2024,TEN,RB,RB,36.0,ACT,Julius Chestnut,Julius,Chestnut,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/dmy7xkb6lv63qou6qag7",18,REG
2024,TEN,LB,ILB,50.0,RES,Jack Gibbens,Jack,Gibbens,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/bcejgmyvfqkmlkiux5ji",18,REG
2024,NYG,OL,T,54.0,DEV,Jalen McKenzie,Jalen,McKenzie,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ez0xl3v0bqfix9002jva",18,REG
2024,NYJ,OL,G,65.0,ACT,Xavier Newman-Johnson,Xavier,Newman-Johnson,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ltlojovue9gzntpaubjn",18,REG
2024,SF,DL,DE,91.0,ACT,Sam Okuayinonu,Sam,Okuayinonu,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/cejeyco38nl3iyyoqm08",18,REG
2024,HOU,DL,DT,92.0,DEV,Jayden Peevy,Jayden,Peevy,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/nukplfyqjq7f1miw7h9o",20,DIV
2024,TEN,OL,T,76.0,RES,Andrew Rupcich,Andrew,Rupcich,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ojw3bwe2gocjqv3akyd0",18,REG
2024,TEN,P,P,4.0,ACT,Ryan Stonehouse,Ryan,Stonehouse,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/vlsrao7qxhrgpdsrjjar",18,REG
2024,NYJ,DB,CB,31.0,ACT,Tre Swilling,Tre,Swilling,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/zx9sg0w3gtobquxrzr4t",18,REG
2024,PIT,RB,RB,33.0,DEV,Aaron Shampklin,Aaron,Shampklin,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/iujjn4h87hwnj9tswfey",19,WC
2024,TB,P,P,16.0,CUT,Seth Vernon,Seth,Vernon,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/axn0cgqa2i46k05jdprq",4,REG
2024,NYG,LB,OLB,5.0,ACT,Kayvon Thibodeaux,Kayvon,Thibodeaux,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/e9m5tfuhkstxtlavaxee",18,REG
2024,NYG,OL,T,73.0,INA,Evan Neal,Evan,Neal,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ivl7gzpswn4mos0mnzb9",18,REG
2024,HOU,OL,G,76.0,ACT,Kenyon Green,Kenyon,Green,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/exwvyo67ysvnnoouec2g",20,DIV
2024,HOU,WR,WR,8.0,ACT,John Metchie III,John,Metchie,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/zf0d6hiyqnmtst0vwdpv",20,DIV
2024,PHI,LB,ILB,17.0,RES,Nakobe Dean,Nakobe,Dean,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/yszg4za8axmftpn0os1v",22,SB
2024,IND,DB,SS,20.0,ACT,Nick Cross,Nicolas,Cross,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/tqhkmm1ru8kr4ug5blaq",18,REG
2024,LAC,RB,RB,28.0,ACT,Hassan Haskins,Hassan,Haskins,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/kfqhhr4xcm2iaocbvdyp",19,WC
2024,HOU,OL,T,74.0,RES,Zach Thomas,Zachary,Thomas,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/nvtja1dbdv3cr8dfdfp1",20,DIV
2024,MIA,OL,G,75.0,DEV,Chasen Hines,Chasen,Hines,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/u4uimqhcoylpaex8vxah",18,REG
2024,CIN,OL,T,73.0,INA,Andrew Stueber,Andrew,Stueber,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/tht0mnjltv9boiqjvvqm",18,REG
2024,NO,DL,DT,57.0,DEV,Ryder Anderson,Ryder,Anderson,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/jdfbxog0kjbvrxpmekjt",18,REG
2024,NYJ,OL,T,73.0,CUT,Vitaliy Gurman,Vitaliy,Gurman,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/bxggqa5bnj818cs3an8h",1,REG
2024,TB,DL,DT,91.0,DEV,Mike Greene,Michael,Greene,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/am4sroiqifiizzjfjvt3",19,WC
2024,LA,LB,ILB,35.0,ACT,Jacob Hummel,Jake,Hummel,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/izuenctabrupcilnutno",20,DIV
2024,ARI,LB,OLB,49.0,INA,Benton Whitley,Benton,Whitley,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/lnwop9j4lzeq8rfxzspx",18,REG
2024,BAL,LB,ILB,57.0,DEV,William Kwenkeu,William,Kwenkeu,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/fxvxlkzuwcixshugdbyw",20,DIV
2024,LAC,TE,TE,42.0,ACT,Tucker Fisk,Tucker,Fisk,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/jbbh7bfsjpqzsy0jcofy",19,WC
2024,ATL,DL,DT,71.0,CUT,Prince Emili,Prince,Emili,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ub5fkbs9yyzfnl6yrkbs",1,REG
2024,BUF,DB,CB,46.0,ACT,Ja'Marcus Ingram,Ja'Marcus,Ingram,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/nr6uixoe6pxz1kbzx4af",21,CON
2024,TB,DL,DT,95.0,INA,C.J. Brewer,C.J.,Brewer,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/olmlilzmltwaiyparvlw",19,WC
2024,NYJ,LB,OLB,11.0,RES,Jermaine Johnson II,Jermaine,Johnson,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/tksswzrbrb6ndpbczqon",18,REG
2024,IND,WR,WR,14.0,ACT,Alec Pierce,Alec,Pierce,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/hvtcpccoigf9cghzkxcg",18,REG
2024,DAL,DL,DE,54.0,RES,Sam Williams,Sam,Williams,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/imtg25iiyxaxegsypdru",18,REG
2024,DAL,WR,WR,1.0,ACT,Jalen Tolbert,Jalen,Tolbert,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/cek1m1cbly5rfmmmjpcc",18,REG
