season,team,team_id,player_id,player_name,first_name,last_name,position,jersey_number,status,game_type
2024,GB,1800,00-0038124,Christian Watson,Christian,Watson,WR,9.0,INA,WC
2024,CAR,750,00-0036555,Chuba Hubbard,Chuba,Hubbard,RB,30.0,RES,REG
2024,ARI,3800,00-0038582,Clayton Tune,Clayton,Tune,QB,15.0,ACT,REG
2024,NO,3300,00-0036360,Clyde Edwards-Helaire,Clyde,Edwards-Helaire,RB,23.0,ACT,REG
2024,LA,2510,00-0039703,Cody Schrader,Cody,Schrader,RB,32.0,ACT,DIV
2024,TB,4900,00-0035164,Cody Thompson,Cody,Thompson,WR,83.0,DEV,WC
2024,SEA,4600,00-0035891,Cody White,Cody,White,WR,82.0,INA,REG
2024,LA,2510,00-0036244,Colby Parkinson,Colby,Parkinson,TE,86.0,ACT,DIV
2024,CIN,920,00-0039626,Cole Burgess,Cole,Burgess,WR,17.0,DEV,REG
2024,LV,2520,00-0037506,Cole Fotheringham,Cole,Fotheringham,TE,83.0,CUT,REG
2024,CHI,810,00-0036290,Cole Kmet,Cole,Kmet,TE,85.0,ACT,REG
2024,WAS,5110,00-0037078,Cole Turner,Cole,Turner,TE,88.0,DEV,CON
2024,CHI,810,00-0036254,Collin Johnson,Collin,Johnson,WR,80.0,ACT,REG
2024,WAS,5110,00-0039686,Colson Yankoff,Colson,Yankoff,RB,41.0,ACT,CON
2024,TEN,2100,00-0038632,Colton Dowell,Colton,Dowell,WR,14.0,RES,REG
2024,PIT,3900,00-0037304,Connor Heyward,Connor,Heyward,TE,83.0,ACT,WC
2024,LA,2510,00-0033908,Cooper Kupp,Cooper,Kupp,WR,10.0,ACT,DIV
2024,DAL,1200,00-0033662,Cooper Rush,Cooper,Rush,QB,10.0,ACT,REG
2024,PIT,3900,00-0030578,Cordarrelle Patterson,Cordarrelle,Patterson,RB,84.0,ACT,WC
2024,DAL,1200,00-0039522,Corey Crooms,Corey,Crooms,WR,17.0,CUT,REG
2024,GB,1800,00-0039437,Cornelius Johnson,Cornelius,Johnson,WR,83.0,DEV,WC
2024,SEA,4600,00-0036647,Cornell Powell,Cornell,Powell,WR,14.0,DEV,REG
2024,DEN,1400,00-0034348,Courtland Sutton,Courtland,Sutton,WR,14.0,ACT,WC
2024,DET,1540,00-0035567,Craig Reynolds,Craig,Reynolds,RB,13.0,ACT,DIV
2024,BUF,610,00-0033282,Curtis Samuel,Curtis,Samuel,WR,1.0,ACT,CON
2024,CHI,810,00-0036275,D'Andre Swift,D'Andre,Swift,RB,4.0,ACT,REG
2024,JAX,2250,00-0035628,D'Ernest Johnson,D'Ernest,Johnson,RB,2.0,ACT,REG
2024,CLE,1050,00-0033925,D'Onta Foreman,D'Onta,Foreman,RB,27.0,ACT,REG
2024,IND,2200,00-0035045,D.J. Montgomery,Dewery,Montgomery,WR,2.0,DEV,REG
2024,TB,4900,00-0039595,D.J. Williams,Dederrian,Williams,RB,30.0,DEV,WC
2024,LAC,4400,00-0034777,DJ Chark,Darrell,Chark,WR,9.0,ACT,WC
2024,CHI,810,00-0034827,DJ Moore,Denniston,Moore,WR,2.0,ACT,REG
2024,LV,2520,00-0036527,DJ Turner,Darryl,Turner,WR,19.0,RES,REG
2024,SEA,4600,00-0035640,DK Metcalf,DeKaylin,Metcalf,WR,14.0,ACT,REG
2024,PIT,3900,00-0039455,Daijun Edwards,Se'varian,Edwards,RB,31.0,CUT,REG
2024,DAL,1200,00-0033077,Dak Prescott,Rayne,Prescott,QB,4.0,RES,REG
2024,PHI,3700,00-0034351,Dallas Goedert,Dallas,Goedert,TE,88.0,ACT,SB
2024,NO,3300,00-0039613,Dallin Holker,Dallin,Holker,TE,85.0,ACT,REG
2024,HOU,2120,00-0036225,Dalton Keene,Dalton,Keene,TE,40.0,RES,DIV
2024,BUF,610,00-0038933,Dalton Kincaid,Dalton,Kincaid,TE,86.0,ACT,CON
2024,HOU,2120,00-0034383,Dalton Schultz,Dalton,Schultz,TE,86.0,ACT,DIV
2024,DAL,1200,00-0033893,Dalvin Cook,Dalvin,Cook,RB,20.0,DEV,REG
2024,HOU,2120,00-0037258,Dameon Pierce,Dameon,Pierce,RB,31.0,ACT,DIV
2024,BUF,610,00-0031868,Damiere Byrd,Damiere,Byrd,WR,89.0,CUT,REG
2024,CAR,750,00-0035976,Dan Chisena,Daniel,Chisena,WR,88.0,ACT,REG
2024,ARI,3800,00-0038702,Daniel Arias,Daniel,Arias,WR,38.0,CUT,REG
2024,NYG,3410,00-0038115,Daniel Bellinger,Daniel,Bellinger,TE,82.0,ACT,REG
2024,LV,2520,00-0034161,Daniel Carlson,Daniel,Carlson,K,2.0,ACT,REG
2024,MIN,3000,00-0035710,Daniel Jones,Daniel,Jones,QB,13.0,INA,WC
2024,PHI,3700,00-0037828,Danny Gray,Danny,Gray,WR,6.0,DEV,SB
2024,NYG,3410,00-0039230,Dante Miller,Dante,Miller,RB,25.0,INA,REG
2024,NO,3300,00-0034860,Dante Pettis,Dante,Pettis,WR,17.0,ACT,REG
2024,HOU,2120,00-0033854,Dare Ogunbowale,Oluwadare,Ogunbowale,RB,33.0,ACT,DIV
2024,SEA,4600,00-0037093,Dareke Young,Dareke,Young,WR,83.0,ACT,REG
2024,NYG,3410,00-0035535,Darius Slayton,Darius,Slayton,WR,86.0,ACT,REG
2024,ATL,200,00-0036309,Darnell Mooney,Darnell,Mooney,WR,1.0,INA,REG
2024,PIT,3900,00-0038558,Darnell Washington,Darnell,Washington,TE,80.0,ACT,WC
2024,NYG,3410,00-0031610,Darren Waller,Darren,Waller,TE,12.0,RET,REG
2024,CHI,810,00-0036297,Darrynton Evans,Darrynton,Evans,RB,25.0,ACT,REG
2024,DET,1540,00-0034395,Daurice Fountain,Daurice,Fountain,WR,12.0,CUT,REG
2024,NYJ,3430,00-0031381,Davante Adams,Davante,Adams,WR,17.0,ACT,REG
2024,CLE,1050,00-0037257,David Bell,David,Bell,WR,18.0,RES,REG
2024,DAL,1200,00-0038734,David Durden,David,Durden,WR,85.0,CUT,REG
2024,TEN,2100,00-0039648,David Martin-Robinson,David,Martin-Robinson,TE,88.0,ACT,REG
2024,DET,1540,00-0035685,David Montgomery,David,Montgomery,RB,5.0,ACT,DIV
2024,CAR,750,00-0033589,David Moore,David,Moore,WR,83.0,ACT,REG
2024,CLE,1050,00-0033885,David Njoku,David,Njoku,TE,85.0,RES,REG
2024,DEN,1400,00-0035359,David Sills,David,Sills,WR,13.0,DEV,WC
2024,NE,3200,00-0039869,David Wallis,David,Wallis,WR,30.0,CUT,REG
2024,TB,4900,00-0034575,David Wells,David,Wells,TE,89.0,CUT,REG
2024,JAX,2250,00-0039562,David White Jr.,David,White,WR,83.0,RES,REG
2024,WAS,5110,00-0035101,Davion Davis,Davion,Davis,WR,84.0,CUT,REG
2024,LA,2510,00-0039074,Davis Allen,Davis,Allen,TE,87.0,ACT,DIV
2024,HOU,2120,00-0036898,Davis Mills,Davis,Mills,QB,10.0,ACT,DIV
2024,BUF,610,00-0035689,Dawson Knox,Dawson,Knox,TE,88.0,ACT,CON
2024,CAR,750,00-0036671,Dax Milne,Dax,Milne,WR,12.0,DEV,REG
2024,ARI,3800,00-0038147,Daylen Baldwin,Daylen,Baldwin,WR,86.0,CUT,REG
2024,BAL,325,00-0039259,Dayton Wade,Dayton,Wade,WR,82.0,DEV,DIV
2024,MIA,2700,00-0039040,De'Von Achane,Devon,Achane,RB,28.0,ACT,REG
2024,CHI,810,00-0031763,DeAndre Carter,DeAndre,Carter,WR,11.0,RES,REG
2024,KC,2310,00-0030564,DeAndre Hopkins,DeAndre,Hopkins,WR,8.0,ACT,SB
2024,GB,1800,00-0039687,DeShaun Fenwick,Deshaun,Fenwick,RB,35.0,DEV,WC
2024,PHI,3700,00-0031547,DeVante Parker,DeVante,Parker,WR,13.0,RET,SB
2024,PHI,3700,00-0036912,DeVonta Smith,DeVonta,Smith,WR,6.0,ACT,SB
2024,MIN,3000,00-0039046,DeWayne McBride,DeWayne,McBride,RB,27.0,CUT,REG
2024,MIA,2700,00-0036620,Dee Eskridge,D'Wayne,Eskridge,WR,82.0,INA,REG
2024,NYG,3410,00-0039306,Dee Williams,Dee,Williams,WR,33.0,INA,REG
2024,ARI,3800,00-0036425,DeeJay Dallas,Demetrius,Dallas,RB,20.0,ACT,REG
2024,SF,4500,00-0035719,Deebo Samuel Sr.,Tyshun,Samuel,WR,1.0,INA,REG
2024,LA,2510,00-0032775,Demarcus Robinson,Demarcus,Robinson,WR,15.0,ACT,DIV
2024,NE,3200,00-0038621,Demario Douglas,Demario,Douglas,WR,3.0,ACT,REG
2024,WAS,5110,00-0036654,Demetric Felton,Demetric,Felton,RB,37.0,RES,CON
2024,MIA,2700,00-0038518,Deneric Prince,Deneric,Prince,RB,35.0,DEV,REG
2024,TB,4900,00-0037570,Dennis Houston,Dennis,Houston,WR,89.0,DEV,WC
2024,PIT,3900,00-0036255,Denzel Mims,Denzel,Mims,WR,15.0,CUT,REG
2024,BUF,610,00-0034406,Deon Cain,Deon,Cain,WR,15.0,TRC,REG
2024,NYJ,3430,00-0036493,Deon Jackson,Deon,Jackson,RB,34.0,CUT,REG
2024,DAL,1200,00-0034653,Deontay Burnett,Deontay,Burnett,WR,6.0,CUT,REG
2024,BAL,325,00-0035215,Deonte Harty,Deonte,Harty,WR,3.0,RES,DIV
2024,NO,3300,00-0031280,Derek Carr,Derek,Carr,QB,4.0,INA,REG
2024,IND,2200,00-0039891,Derek Slywka,Derek,Slywka,WR,13.0,CUT,REG
2024,LAC,4400,00-0038573,Derius Davis,Derius,Davis,WR,12.0,ACT,WC
2024,BAL,325,00-0032764,Derrick Henry,Derrick,Henry,RB,22.0,ACT,DIV
2024,CLE,1050,00-0033537,Deshaun Watson,Derrick,Watson,QB,4.0,RES,REG
2024,LV,2520,00-0038122,Desmond Ridder,Desmond,Ridder,QB,10.0,ACT,REG
